"duty_station","type","parent","street","city","state","zip","address","phone","url"
"Calexico West - Class A, California - 2503","Port of Entry","San Diego","200 East First Street","Calexico","CA","92231","200 East First Street, Calexico, CA 92231","760-768-2300","https://www.cbp.gov/about/contact/ports/calexico-west-class-california-2503"
"Andrade - Class A, California - 2502","Port of Entry","San Diego","235 Andrade Road","Winterhaven","CA","92283","235 Andrade Road, Winterhaven, CA 92283","","https://www.cbp.gov/about/contact/ports/andrade-class-california-2502"
"San Diego, California - 2501","Port of Entry","San Diego","3835 N. Harbor Drive","San Diego","CA","92101","3835 N. Harbor Drive, San Diego, CA 92101","619-491-2600","https://www.cbp.gov/about/contact/ports/san-diego-california-2501"
"Calexico East - Class A, California - 2507","Port of Entry","San Diego","1699 East Carr, Rd","Calexico","CA","92231","1699 East Carr, Rd, Calexico, CA 92231","760-768-2300","https://www.cbp.gov/about/contact/ports/calexico-east-class-california-2507"
"San Francisco","Field Office","","33 New Montgomery St., 16th floor","San Francisco","CA","94105","33 New Montgomery St., 16th floor, San Francisco, CA 94105","415-744-1530","https://www.cbp.gov/about/contact/ports/field-office/san-francisco"
"Tinian, Northern Mariana Islands - 3212","Port of Entry","San Francisco","Tinian International Airport","Tinian","MP","96950","Tinian International Airport, Tinian, MP 96950","","https://www.cbp.gov/about/contact/ports/tinian-northern-mariana-islands-3212"
"Saipan, Northern Mariana Islands - 3211","Port of Entry","San Francisco","Chalan I Fadang Saipan International Airport","Dandan","MP","96950","Chalan I Fadang Saipan International Airport, Dandan, MP 96950","670-288-0027","https://www.cbp.gov/about/contact/ports/saipan-northern-mariana-islands-3211"
"Rota, Northern Mariana Islands - 3213","Port of Entry","San Francisco","Rota International Airport","Rota","MP","96951","Rota International Airport, Rota, MP 96951","670-288-0028","https://www.cbp.gov/about/contact/ports/rota-northern-mariana-islands-3213"
"Hagatna, Guam, Guam - 3207","Port of Entry","San Francisco","A.B. Won Pat Guam International Airport","Tamuning","GU","96913","A.B. Won Pat Guam International Airport, Tamuning, GU 96913","","https://www.cbp.gov/about/contact/ports/hagatna-guam-guam-3207"
"Salt Lake City, Utah - 3303","Port of Entry","San Francisco","3920 West Terminal Drive","Salt Lake City","UT","84112","3920 West Terminal Drive, Salt Lake City, UT 84112","801-524-3445","https://www.cbp.gov/about/contact/ports/salt-lake-city-utah-3303"
"Nawiliwili-Port Allen, Hawaii - 3204","Port of Entry","San Francisco","Lihue Airport","Lihue","HI","96766","Lihue Airport, Lihue, HI 96766","","https://www.cbp.gov/about/contact/ports/nawiliwili-port-allen-hawaii-3204"
"Kona, Hawaii - 3206","Port of Entry","San Francisco","Ellison Onizuka Kona International Airport at Keahole Federal Inspection Station","Kailua-Kona","HI","96740","Ellison Onizuka Kona International Airport at Keahole Federal Inspection Station, Kailua-Kona, HI 96740","","https://www.cbp.gov/about/contact/ports/kona-hawaii-3206"
"Honolulu, Hawaii - 3201","Port of Entry","San Francisco","300 Ala Moana Blvd. Room 2500","Honolulu","HI","96850","300 Ala Moana Blvd. Room 2500, Honolulu, HI 96850","808-356-4100","https://www.cbp.gov/about/contact/ports/honolulu-hawaii-3201"
"Daniel K. Inouye International Airport - 3205","Port of Entry","San Francisco","300 Rodgers Blvd.","Honolulu","HI","96819","300 Rodgers Blvd., Honolulu, HI 96819","808-237-4600","https://www.cbp.gov/about/contact/ports/daniel-k-inouye-international-airport-3205"
"Hilo, Hawaii - 3202","Port of Entry","San Francisco","29 Kuhio Street","Hilo","HI","96720","29 Kuhio Street, Hilo, HI 96720","","https://www.cbp.gov/about/contact/ports/hilo-hawaii-3202"
"Kahului, Hawaii - 3203","Port of Entry","San Francisco","Kahului Airport","Kahului","HI","96732","Kahului Airport, Kahului, HI 96732","","https://www.cbp.gov/about/contact/ports/kahului-hawaii-3203"
"Reno, Nevada - 2833","Port of Entry","San Francisco","2220 Radar Street","Reno","NV","89502","2220 Radar Street, Reno, NV 89502","","https://www.cbp.gov/about/contact/ports/reno-nevada-2833"
"Sacramento, California - 2835","Port of Entry","San Francisco","6900 Airport Boulevard","Sacramento","CA","95837","6900 Airport Boulevard, Sacramento, CA 95837","","https://www.cbp.gov/about/contact/ports/sacramento-california-2835"
"San Francisco, California - 2809","Port of Entry","San Francisco","555 Battery Street, Room 319","San Francisco","CA","94111","555 Battery Street, Room 319, San Francisco, CA 94111","415-782-9200","https://www.cbp.gov/about/contact/ports/san-francisco-california-2809"
"Fresno (2803/2882), California - 2803","Port of Entry","San Francisco","5177 E. Clinton Way","Fresno","CA","93727","5177 E. Clinton Way, Fresno, CA 93727","","https://www.cbp.gov/about/contact/ports/fresno-28032882-california-2803"
"San Jose International Airport, California - 2834","Port of Entry","San Francisco","2065 Airport Blvd.","San Jose","CA","95110","2065 Airport Blvd., San Jose, CA 95110","408-291-7388","https://www.cbp.gov/about/contact/ports/san-jose-international-airport-california-2834"
"San Francisco International Airport, California - 2801","Port of Entry","San Francisco","555 Battery Street","San Francisco","CA","94111","555 Battery Street, San Francisco, CA 94111","","https://www.cbp.gov/about/contact/ports/san-francisco-international-airport-california-2801"
"Eureka, California - 2802","Port of Entry","San Francisco","317 3rd Street, Suite 6","Eureka","CA","95501","317 3rd Street, Suite 6, Eureka, CA 95501","","https://www.cbp.gov/about/contact/ports/eureka-california-2802"
"San Juan","Field Office","","#1 La Puntilla St.","San Juan","PR","00901","#1 La Puntilla St., San Juan, PR 00901","","https://www.cbp.gov/about/contact/ports/field-office/san-juan"
"Ponce, Puerto Rico - 4908","Port of Entry","San Juan","63 Calle Bonaire","Ponce","PR","00716","63 Calle Bonaire, Ponce, PR 00716","787-841-3130","https://www.cbp.gov/about/contact/ports/ponce-puerto-rico-4908"
"Aguadilla, Puerto Rico - 4901","Port of Entry","San Juan","Rafael Hernandez Airport","Aguadilla","PR","00604","Rafael Hernandez Airport, Aguadilla, PR 00604","","https://www.cbp.gov/about/contact/ports/aguadilla-puerto-rico-4901"
"Mayaguez, Puerto Rico - 4907","Port of Entry","San Juan","31 Gonzalez Clemente Ave.","Mayaguez","PR","00680","31 Gonzalez Clemente Ave., Mayaguez, PR 00680","","https://www.cbp.gov/about/contact/ports/mayaguez-puerto-rico-4907"
"Fajardo, Puerto Rico - 4904","Port of Entry","San Juan","U.S. Customhouse","Puerto Real","PR","00740","U.S. Customhouse, Puerto Real, PR 00740","","https://www.cbp.gov/about/contact/ports/fajardo-puerto-rico-4904"
"Luis Munoz Marin International Airport, Puerto Rico - 4913","Port of Entry","San Juan","#1 La Puntilla St","San Juan","PR","00901","#1 La Puntilla St, San Juan, PR 00901","","https://www.cbp.gov/about/contact/ports/luis-munoz-marin-international-airport-puerto-rico-4913"
"San Juan, PR (Area Port), Puerto Rico - 4909","Port of Entry","San Juan","#1 La Puntilla St","San Juan","PR","00901","#1 La Puntilla St, San Juan, PR 00901","787-729-6850","https://www.cbp.gov/about/contact/ports/san-juan-pr-area-port-puerto-rico-4909"
"Cruz Bay (St. John), Virgin Islands - 5102","Port of Entry","San Juan","Victor W. Sewer Marine Facility","St. John","VI","00830","Victor W. Sewer Marine Facility, St. John, VI 00830","","https://www.cbp.gov/about/contact/ports/cruz-bay-st-john-virgin-islands-5102"
"Saint Croix, Virgin Islands - 5104","Port of Entry","San Juan","RR #2-9922","Kingshill","VI","00850","RR #2-9922, Kingshill, VI 00850","340-773-1490","https://www.cbp.gov/about/contact/ports/saint-croix-virgin-islands-5104"
"Charlotte Amalie (Area Port of St. Thomas), Virgin Islands - 5101","Port of Entry","San Juan","Ron de Lugo Federal Building","St. Thomas","VI","00802","Ron de Lugo Federal Building, St. Thomas, VI 00802","","https://www.cbp.gov/about/contact/ports/charlotte-amalie-area-port-st-thomas-virgin-islands-5101"
"Seattle","Field Office","","1000 2nd Avenue","Seattle","WA","98104","1000 2nd Avenue, Seattle, WA 98104","360-332-4413","https://www.cbp.gov/about/contact/ports/field-office/seattle"
"Eastport, ID, Idaho - 3302","Port of Entry","Seattle","Hwy 95 N. at Canadian border","Eastport","ID","83826","Hwy 95 N. at Canadian border, Eastport, ID 83826","208-267-3966","https://www.cbp.gov/about/contact/ports/eastport-id-idaho-3302"
"Porthill, ID, Idaho - 3308","Port of Entry","Seattle","Highway 1 at Canadian Border","Porthill","ID","83853","Highway 1 at Canadian Border, Porthill, ID 83853","208-267-5309","https://www.cbp.gov/about/contact/ports/porthill-id-idaho-3308"
"Lancaster, Minnesota - 3430","Port of Entry","Seattle","4151 Hwy 59","Lancaster","MN","56735","4151 Hwy 59, Lancaster, MN 56735","","https://www.cbp.gov/about/contact/ports/lancaster-minnesota-3430"
"Pinecreek, Minnesota - 3425","Port of Entry","Seattle","41937 State Hwy 89","Roseau","MN","56751","41937 State Hwy 89, Roseau, MN 56751","","https://www.cbp.gov/about/contact/ports/pinecreek-minnesota-3425"
"Warroad, Minnesota - 3423","Port of Entry","Seattle","41059 State Hwy 313","Warroad","MN","56763","41059 State Hwy 313, Warroad, MN 56763","","https://www.cbp.gov/about/contact/ports/warroad-minnesota-3423"
"International Falls, Minnesota - 3604","Port of Entry","Seattle","2 Second Ave","International Falls","MN","56649","2 Second Ave, International Falls, MN 56649","","https://www.cbp.gov/about/contact/ports/international-falls-minnesota-3604"
"Roseau, Minnesota - 3426","Port of Entry","Seattle","41967 State Hwy 310","Roseau","MN","56751","41967 State Hwy 310, Roseau, MN 56751","","https://www.cbp.gov/about/contact/ports/roseau-minnesota-3426"
"Baudette, Minnesota - 3424","Port of Entry","Seattle","600 International Drive","Baudette","MN","56623","600 International Drive, Baudette, MN 56623","218-634-2803","https://www.cbp.gov/about/contact/ports/baudette-minnesota-3424"
"Grand Portage, Minnesota - 3613","Port of Entry","Seattle","9403 E Highway 61","Grand Portage","MN","55605","9403 E Highway 61, Grand Portage, MN 55605","","https://www.cbp.gov/about/contact/ports/grand-portage-minnesota-3613"
"Morgan, MT, Montana - 3319","Port of Entry","Seattle","53869 US Highway 191 N","Loring","MT","59537","53869 US Highway 191 N, Loring, MT 59537","406-674-5248","https://www.cbp.gov/about/contact/ports/morgan-mt-montana-3319"
"Turner, MT, Montana - 3306","Port of Entry","Seattle","41725 Turner Road","Turner","MT","59542","41725 Turner Road, Turner, MT 59542","406-379-2651","https://www.cbp.gov/about/contact/ports/turner-mt-montana-3306"
"Willow Creek, Montana - 3325","Port of Entry","Seattle","29942 St Joe Road","Havre","MT","59501","29942 St Joe Road, Havre, MT 59501","406-398-5512","https://www.cbp.gov/about/contact/ports/willow-creek-montana-3325"
"Bozeman Yellowstone User Fee Airport, Montana - 3386","Port of Entry","Seattle","550 Wings Way","Belgrade","MT","59714","550 Wings Way, Belgrade, MT 59714","406-388-2144","https://www.cbp.gov/about/contact/ports/bozeman-yellowstone-user-fee-airport-montana-3386"
"Port of Sweetgrass, Montana - 3310","Port of Entry","Seattle","39825 Interstate 15","Sweetgrass","MT","59484","39825 Interstate 15, Sweetgrass, MT 59484","406-335-9610","https://www.cbp.gov/about/contact/ports/area-port-sweetgrass-montana-3310"
"Raymond, Montana - 3301","Port of Entry","Seattle","Hwy 16 north of Raymond","Raymond","MT","59256","Hwy 16 north of Raymond, Raymond, MT 59256","406-895-2664","https://www.cbp.gov/about/contact/ports/raymond-montana-3301"
"Roosville, Montana - 3318","Port of Entry","Seattle","7915 Hwy 93 North","Eureka","MT","59917","7915 Hwy 93 North, Eureka, MT 59917","406-889-3865","https://www.cbp.gov/about/contact/ports/roosville-montana-3318"
"Whitlash, Montana - 3321","Port of Entry","Seattle","10 Whitlash Road","Whitlash","MT","59545","10 Whitlash Road, Whitlash, MT 59545","","https://www.cbp.gov/about/contact/ports/whitlash-montana-3321"
"Great Falls International Airport, Montana - 3304","Port of Entry","Seattle","1600 Airport Drive","Great Falls","MT","59404","1600 Airport Drive, Great Falls, MT 59404","406-453-0861","https://www.cbp.gov/about/contact/ports/great-falls-airport-mt-montana-3304"
"Del Bonita, MT, Montana - 3322","Port of Entry","Seattle","4071 Chalk Butte Road","Cut Bank","MT","59427","4071 Chalk Butte Road, Cut Bank, MT 59427","406-336-2130","https://www.cbp.gov/about/contact/ports/del-bonita-mt-montana-3322"
"Piegan, MT, Montana - 3316","Port of Entry","Seattle","5023 Highway 89 North","Babb","MT","59411","5023 Highway 89 North, Babb, MT 59411","406-732-5572","https://www.cbp.gov/about/contact/ports/piegan-mt-montana-3316"
"Scobey, MT, Montana - 3309","Port of Entry","Seattle","1440 Hwy 13 North","Scobey","MT","59263","1440 Hwy 13 North, Scobey, MT 59263","406-783-5375","https://www.cbp.gov/about/contact/ports/scobey-mt-montana-3309"
"Opheim, MT, Montana - 3317","Port of Entry","Seattle","6071 State Highway 24 North","Opheim","MT","59250","6071 State Highway 24 North, Opheim, MT 59250","","https://www.cbp.gov/about/contact/ports/opheim-mt-montana-3317"
"Glacier Park International Airport, Montana (Kalispell) - 3324","Port of Entry","Seattle","Glacier Park International Airport","Kalispell","MT","59901","Glacier Park International Airport, Kalispell, MT 59901","406-257-7034","https://www.cbp.gov/about/contact/ports/kalispell-airport-mt-montana-3324"
"Butte Airport, MT, Montana - 3305","Port of Entry","Seattle","101 Airport Road","Butte","MT","59702","101 Airport Road, Butte, MT 59702","406-449-5506","https://www.cbp.gov/about/contact/ports/butte-airport-mt-montana-3305"
"Wild Horse, MT, Montana - 3323","Port of Entry","Seattle","29832 Wild Horse Road","Havre","MT","59501","29832 Wild Horse Road, Havre, MT 59501","406-394-2371","https://www.cbp.gov/about/contact/ports/wild-horse-mt-montana-3323"
"Minot - Minot International Airport, North Dakota - 3434","Port of Entry","Seattle","2400 North Broadway","Minot","ND","58703","2400 North Broadway, Minot, ND 58703","","https://www.cbp.gov/about/contact/ports/minot-minot-international-airport-north-dakota-3434"
"Sherwood, North Dakota - 3414","Port of Entry","Seattle","10927 HWY 28","Sherwood","ND","58782","10927 HWY 28, Sherwood, ND 58782","701-459-2250","https://www.cbp.gov/about/contact/ports/sherwood-north-dakota-3414"
"Sarles, North Dakota - 3409","Port of Entry","Seattle","10949 State Hwy 20","Sarles","ND","58372","10949 State Hwy 20, Sarles, ND 58372","","https://www.cbp.gov/about/contact/ports/sarles-north-dakota-3409"
"Hansboro, North Dakota - 3415","Port of Entry","Seattle","10935 Hwy 4","Hansboro","ND","58339","10935 Hwy 4, Hansboro, ND 58339","","https://www.cbp.gov/about/contact/ports/hansboro-north-dakota-3415"
"Dunseith, North Dakota - 3422","Port of Entry","Seattle","10947 Highway 281","Dunseith","ND","58329","10947 Highway 281, Dunseith, ND 58329","","https://www.cbp.gov/about/contact/ports/dunseith-north-dakota-3422"
"Westhope, North Dakota - 3419","Port of Entry","Seattle","10923 Hwy #83","Westhope","ND","58793","10923 Hwy #83, Westhope, ND 58793","","https://www.cbp.gov/about/contact/ports/westhope-north-dakota-3419"
"Walhalla, North Dakota - 3407","Port of Entry","Seattle","10955 State Hwy 32","Walhalla","ND","58282","10955 State Hwy 32, Walhalla, ND 58282","","https://www.cbp.gov/about/contact/ports/walhalla-north-dakota-3407"
"Saint John, North Dakota - 3405","Port of Entry","Seattle","10935 Highway 30","St. John","ND","58369","10935 Highway 30, St. John, ND 58369","","https://www.cbp.gov/about/contact/ports/saint-john-north-dakota-3405"
"Portal, North Dakota - 3403","Port of Entry","Seattle","301 W Railway Ave","Portal","ND","58772","301 W Railway Ave, Portal, ND 58772","","https://www.cbp.gov/about/contact/ports/portal-north-dakota-3403"
"Neche, North Dakota - 3404","Port of Entry","Seattle","10949 Hwy #18","Neche","ND","58265","10949 Hwy #18, Neche, ND 58265","701-886-7744","https://www.cbp.gov/about/contact/ports/neche-north-dakota-3404"
"Grand Forks - Mark Andrews International Airport, North Dakota - 3427","Port of Entry","Seattle","2355 Airport Drive","Grand Forks","ND","58203","2355 Airport Drive, Grand Forks, ND 58203","701-772-3301","https://www.cbp.gov/about/contact/ports/grand-forks-mark-andrews-international-airport-north-dakota-3427"
"Carbury, North Dakota - 3421","Port of Entry","Seattle","10919 Hwy 14 NE","Souris","ND","58783","10919 Hwy 14 NE, Souris, ND 58783","","https://www.cbp.gov/about/contact/ports/carbury-north-dakota-3421"
"Fargo - Hector International Airport, North Dakota - 3411","Port of Entry","Seattle","3803 20th. Street N.","Fargo","ND","58102","3803 20th. Street N., Fargo, ND 58102","701-241-8124","https://www.cbp.gov/about/contact/ports/fargo-hector-international-airport-north-dakota-3411"
"Ambrose, North Dakota - 3410","Port of Entry","Seattle","10935 State Hwy 42","Ambrose","ND","58833","10935 State Hwy 42, Ambrose, ND 58833","","https://www.cbp.gov/about/contact/ports/ambrose-north-dakota-3410"
"Maida, North Dakota - 3416","Port of Entry","Seattle","10947 Hwy 1 N","Langdon","ND","58255","10947 Hwy 1 N, Langdon, ND 58255","","https://www.cbp.gov/about/contact/ports/maida-north-dakota-3416"
"Hannah, North Dakota - 3408","Port of Entry","Seattle","10951 91st. Ave. NE","Hannah","ND","58239","10951 91st. Ave. NE, Hannah, ND 58239","","https://www.cbp.gov/about/contact/ports/hannah-north-dakota-3408"
"Noonan, North Dakota - 3420","Port of Entry","Seattle","10945 N 40","Noonan","ND","58765","10945 N 40, Noonan, ND 58765","","https://www.cbp.gov/about/contact/ports/noonan-north-dakota-3420"
"Antler, North Dakota - 3413","Port of Entry","Seattle","10945 Hwy 256","Antler","ND","58711","10945 Hwy 256, Antler, ND 58711","","https://www.cbp.gov/about/contact/ports/antler-north-dakota-3413"
"Williston Basin International Airport, Williston, ND - 3433","Port of Entry","Seattle","14151 Commerce Drive","Williston","ND","58801","14151 Commerce Drive, Williston, ND 58801","","https://www.cbp.gov/about/contact/ports/williston-basin-international-airport-williston-nd-3433"
"Fortuna, North Dakota - 3417","Port of Entry","Seattle","10935 HWY 85 NW","Fortuna","ND","58844","10935 HWY 85 NW, Fortuna, ND 58844","701-834-2493","https://www.cbp.gov/about/contact/ports/fortuna-north-dakota-3417"
"Pembina - (Area Port), North Dakota - 3401","Port of Entry","Seattle","10980 Hwy 29","Pembina","ND","58271","10980 Hwy 29, Pembina, ND 58271","701-825-5800","https://www.cbp.gov/about/contact/ports/pembina-area-port-north-dakota-3401"
"Northgate, North Dakota - 3406","Port of Entry","Seattle","10921 Hwy 8","Flaxton","ND","58737","10921 Hwy 8, Flaxton, ND 58737","","https://www.cbp.gov/about/contact/ports/northgate-north-dakota-3406"
"Tacoma, Washington, Washington - 3002","Port of Entry","Seattle","4813 Pacific Highway East","Fife","WA","98424","4813 Pacific Highway East, Fife, WA 98424","253-896-8500","https://www.cbp.gov/about/contact/ports/tacoma-washington-washington-3002"
"Oroville, WA, Washington - 3019","Port of Entry","Seattle","33643 Hwy 97","Oroville","WA","98844","33643 Hwy 97, Oroville, WA 98844","509-476-2955","https://www.cbp.gov/about/contact/ports/oroville-wa-washington-3019"
"Blaine, Washington - 3004","Port of Entry","Seattle","9901 Pacific Highway","Blaine","WA","98230","9901 Pacific Highway, Blaine, WA 98230","360-332-5771","https://www.cbp.gov/about/contact/ports/blaine-washington-3004"
"Seattle, Washington - 3001","Port of Entry","Seattle","17801 International Blvd","Seattle","WA","98158","17801 International Blvd, Seattle, WA 98158","206-214-2200","https://www.cbp.gov/about/contact/ports/seattle-washington-3001"
"Helena Regional Airport, Montana - 3348","Port of Entry","Seattle","2540 Airport Road","Helena","MT","59601","2540 Airport Road, Helena, MT 59601","406-449-5506","https://www.cbp.gov/about/contact/ports/helena-airport-montana-3348"
"Anacortes - 3010","Port of Entry","Seattle","1019 Q Ave.","Anacortes","WA","98221","1019 Q Ave., Anacortes, WA 98221","360-293-2331","https://www.cbp.gov/about/contact/ports/anacortes-3010"
"Friday Harbor - 3014","Port of Entry","Seattle","100 South First Street","Friday Harbor","WA","98250","100 South First Street, Friday Harbor, WA 98250","360-378-2080","https://www.cbp.gov/about/contact/ports/friday-harbor-3014"
"Bellingham - 3005","Port of Entry","Seattle","4241 Mitchell Way #13","Bellingham","WA","98250","4241 Mitchell Way #13, Bellingham, WA 98250","360-734-5463","https://www.cbp.gov/about/contact/ports/bellingham-3005"
"Tampa","Field Office","","5519 W Hillsborough Ave","Tampa","FL","33634","5519 W Hillsborough Ave, Tampa, FL 33634","813-712-6000","https://www.cbp.gov/about/contact/ports/field-office/tampa"
"Melbourne Orlando International Airport (UFA), Florida - 1885","Port of Entry","Tampa","One Air Terminal Parkway","Melbourne","FL","32901","One Air Terminal Parkway, Melbourne, FL 32901","321-674-5796","https://www.cbp.gov/about/contact/ports/melbourne-international-airport-ufa-florida-1885"
"Orlando Executive Airport (UFA), Florida - 1888","Port of Entry","Tampa","365 Rickenbacker Drive","Orlando","FL","32803","365 Rickenbacker Drive, Orlando, FL 32803","407-825-5102","https://www.cbp.gov/about/contact/ports/orlando-executive-airport-ufa-florida-1888"
"Pensacola, Florida, Florida - 1819","Port of Entry","Tampa","4121 Jerry L. Maygarden Road","Pensacola","FL","32504","4121 Jerry L. Maygarden Road, Pensacola, FL 32504","850-433-3205","https://www.cbp.gov/about/contact/ports/pensacola-florida-florida-1819"
"Fort Myers, Florida - 1822","Port of Entry","Tampa","11000 Terminal Access Road #8636","Fort Myers","FL","33913","11000 Terminal Access Road #8636, Fort Myers, FL 33913","239-477-7800","https://www.cbp.gov/about/contact/ports/fort-myers-florida-1822"
"Panama City, Florida - 1818","Port of Entry","Tampa","140 Richard Jackson Blvd. Suite 160","Panama City Beach","FL","32407","140 Richard Jackson Blvd. Suite 160, Panama City Beach, FL 32407","","https://www.cbp.gov/about/contact/ports/panama-city-florida-1818"
"Leesburg International Airport (UFA), Florida - 1887","Port of Entry","Tampa","8742 Airport Blvd","Leesburg","FL","34788","8742 Airport Blvd, Leesburg, FL 34788","352-787-4217","https://www.cbp.gov/about/contact/ports/leesburg-international-airport-ufa-florida-1887"
"Area Port of Jacksonville, Florida - 1803","Port of Entry","Tampa","10426 Alta Drive","Jacksonville","FL","32226","10426 Alta Drive, Jacksonville, FL 32226","904-714-3100","https://www.cbp.gov/about/contact/ports/area-port-jacksonville-florida-1803"
"Port Canaveral, Florida - 1816","Port of Entry","Tampa","200 George King Blvd","Cape Canaveral","FL","32920","200 George King Blvd, Cape Canaveral, FL 32920","321-783-2066","https://www.cbp.gov/about/contact/ports/cape-canaveral-florida-1816"
"Fernandina Beach, Florida - 1805","Port of Entry","Tampa","403 North Third Street","Fernandina Beach","FL","32034","403 North Third Street, Fernandina Beach, FL 32034","","https://www.cbp.gov/about/contact/ports/fernandina-beach-florida-1805"
"Daytona Beach International Airport (UFA), Florida - 1884","Port of Entry","Tampa","605 Innovation Way","Daytona Beach","FL","32114","605 Innovation Way, Daytona Beach, FL 32114","386-248-8043","https://www.cbp.gov/about/contact/ports/daytona-beach-international-airport-ufa-florida-1884"
"Orlando Sanford International Airport, Florida - 1809","Port of Entry","Tampa","1100 Red Cleveland Blvd., Suite 100","Sanford","FL","32773","1100 Red Cleveland Blvd., Suite 100, Sanford, FL 32773","407-585-6400","https://www.cbp.gov/about/contact/ports/orlando-sanford-international-airport-florida-1809"
"Naples, Florida - 1880","Port of Entry","Tampa","2460 Tower Drive","Naples","FL","34104","2460 Tower Drive, Naples, FL 34104","239-430-9321","https://www.cbp.gov/about/contact/ports/naples-florida-1880"
"St. Petersburg, Florida - 1814","Port of Entry","Tampa","14700 Terminal Blvd.","Clearwater","FL","33762","14700 Terminal Blvd., Clearwater, FL 33762","727-453-7080","https://www.cbp.gov/about/contact/ports/st-petersburg-florida-1814"
"Orlando International Airport, Florida - 1808","Port of Entry","Tampa","9043 Tradeport Drive","Orlando","FL","32827","9043 Tradeport Drive, Orlando, FL 32827","407-240-4462","https://www.cbp.gov/about/contact/ports/orlando-international-airport-florida-1808"
"Port Manatee, Florida - 1821","Port of Entry","Tampa","1905 Intermodal Circle","PALMETTO","FL","34221","1905 Intermodal Circle, PALMETTO, FL 34221","941-721-2380","https://www.cbp.gov/about/contact/ports/port-manatee-florida-1821"
"St. Augustine, Florida - 1889","Port of Entry","Tampa","396 Estrella Ave","St. Augustine","FL","32095","396 Estrella Ave, St. Augustine, FL 32095","","https://www.cbp.gov/about/contact/ports/st-augustine-florida-1889"
"Area Port of Tampa, Florida - 1801","Port of Entry","Tampa","5519 W Hillsborough Ave","Tampa","FL","33634","5519 W Hillsborough Ave, Tampa, FL 33634","813-249-8101","https://www.cbp.gov/about/contact/ports/area-port-tampa-florida-1801"
"Lakeland Linder Airport, Florida - 1881","Port of Entry","Tampa","3900 Don Emerson Dr.","Lakeland","FL","33811","3900 Don Emerson Dr., Lakeland, FL 33811","863-647-4870","https://www.cbp.gov/about/contact/ports/lakeland-linder-airport-florida-1881"
"Tucson","Field Office","","4760 N. Oracle Road","Tucson","AZ","85705","4760 N. Oracle Road, Tucson, AZ 85705","","https://www.cbp.gov/about/contact/ports/field-office/tucson"
"San Luis, Arizona - 2608","Port of Entry","Tucson","Highway 95 & International Border","San Luis","AZ","85349","Highway 95 & International Border, San Luis, AZ 85349","","https://www.cbp.gov/about/contact/ports/san-luis-arizona-2608"
"Phoenix, Arizona - 2605","Port of Entry","Tucson","3002 E. Old Tower Road, Suite 400","Phoenix","AZ","85034","3002 E. Old Tower Road, Suite 400, Phoenix, AZ 85034","","https://www.cbp.gov/about/contact/ports/phoenix-arizona-2605"
"Scottsdale Airport, Arizona - 2681","Port of Entry","Tucson","15000 N. Airport Drive","Scottsdale,","AZ","85260","15000 N. Airport Drive, Scottsdale,, AZ 85260","","https://www.cbp.gov/about/contact/ports/scottsdale-airport-arizona-2681"
"Douglas, Arizona - 2601","Port of Entry","Tucson","First Street and Pan American Avenue","Douglas","AZ","85607","First Street and Pan American Avenue, Douglas, AZ 85607","","https://www.cbp.gov/about/contact/ports/douglas-arizona-2601"
"Phoenix-Mesa Gateway Airport, Arizona - 2682","Port of Entry","Tucson","5803 S. Sossaman Rd.","Mesa","AZ","85212","5803 S. Sossaman Rd., Mesa, AZ 85212","","https://www.cbp.gov/about/contact/ports/phoenix-mesa-gateway-airport-arizona-2682"
"Naco, Arizona - 2603","Port of Entry","Tucson","3867 S. Towner Avenue","Naco","AZ","85620","3867 S. Towner Avenue, Naco, AZ 85620","","https://www.cbp.gov/about/contact/ports/naco-arizona-2603"
"Tucson, Arizona - 2609","Port of Entry","Tucson","7081 South Plumer Ave","Tucson","AZ","85756","7081 South Plumer Ave, Tucson, AZ 85756","","https://www.cbp.gov/about/contact/ports/tucson-arizona-2609"
"Sasabe, Arizona - 2606","Port of Entry","Tucson","Highway 286 and International Border","Sasabe","AZ","85633","Highway 286 and International Border, Sasabe, AZ 85633","","https://www.cbp.gov/about/contact/ports/sasabe-arizona-2606"
"Lukeville, Arizona - 2602","Port of Entry","Tucson","Highway 85 & Border","Lukeville","AZ","85341","Highway 85 & Border, Lukeville, AZ 85341","","https://www.cbp.gov/about/contact/ports/lukeville-arizona-2602"
"Nogales, Arizona - 2604","Port of Entry","Tucson","9 North Grand Ave.","Nogales","AZ","85621","9 North Grand Ave., Nogales, AZ 85621","520-287-1410","https://www.cbp.gov/about/contact/ports/nogales-arizona-2604"
"Big Bend Sector Texas","Sector","","300 Madrid Street","Marfa","TX","","Big Bend Border Patrol Sector, P.O. Box I, Marfa, TX 79843","432-729-5200","https://www.cbp.gov/border-security/along-us-borders/border-patrol-sectors/big-bend-sector-texas"
"Presidio Station","Station","Big Bend Sector Texas","Highways 170 and 67Post Office Box 929","Presidio","TX","79845","Highways 170 and 67Post Office Box 929, Presidio, TX 79845","432-229-3330","https://www.cbp.gov/border-security/along-us-borders/border-patrol-sectors/big-bend-sector-texas/presidio-station-prs"
